InChI Key (ID),Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,Chemical Category,Canonical SMILES String,Molecular Formula,PubChem ID,ECL Chemical id,ECL Product id,Catalog description,Synonyms,Catalog number,Sigma-Aldrich URL,Primary Information Source
FCTHQYIDLRRROX-UHFFFAOYSA-N,iso-Butylammonium iodide,iButylammoniumIodide,201.05,1.682582,"InChI=1S/C4H11N.HI/c1-4(2)3-5;/h4H,3,5H2,1-2H3;1H",organic,[I-].CC(C)C[NH3+],C4H12IN,,,,,,greatcell: MS107000-100,,https://cactus.nci.nih.gov/chemical/structure
UZHWWTHDRVLCJU-UHFFFAOYSA-N,iso-Pentylammonium iodide,IPentylammoniumIodide,215.02,1.55959,"InChI=1S/C5H13N.HI/c1-5(2)3-4-6;/h5H,3-4,6H2,1-2H3;1H",organic,CC(CC[NH3+])C.[I-],C5H14IN,,,,,,,,
MCEUZMYFCCOOQO-UHFFFAOYSA-L,Lead(II) acetate trihydrate,LeadAcetate,379.33,2.55,"InChI=1S/2C2H4O2.3H2O.Pb/c2*1-2(3)4;;;;/h2*1H3,(H,3,4);3*1H2;/q;;;;;+2/p-2",inorganic,CC(=O)O[Pb]OC(=O)C.O.O.O,C4H12O7Pb,16693916,"Model[Sample, Chemical, ""id:o1k9jAGo4GvG""]","Object[Product, ""id:zGj91a7kr7nj""]",,,Sigma: 467863-50G,https://www.sigmaaldrich.com/catalog/product/aldrich/467863?lang=en&\region=US,
ZASWJUOMEGBQCQ-UHFFFAOYSA-L,Lead(II) bromide,PbBr2,367.01,6.66,InChI=1S/2BrH.Pb/h2*1H;/q;;+2/p-2,inorganic,Br[Pb]Br,PbBr2,,"Model[Sample,Chemical,id:jLq9jXvO4rGZ]",,"Object[Product,id:7X104vn698bk]",,Sigma: 211141-100G,,https://www.sigmaaldrich.com/catalog/product/aldrich/211141?lang=en&\region=US
ISWNAMNOYHCTSB-UHFFFAOYSA-N,Methylammonium bromide,Methylammoniumbromide,111.97,1.883462,"InChI=1S/CH5N.BrH/c1-2;/h2H2,1H3;1H",organic,C[NH3+].[Br-],CH6BrN,,"Model[Sample, Chemical, ""id:7X104vn69PWk""]","Object[Product, ""id:N80DNj1vYkRA""]",Methylammonium bromide,,Sigma: 806498-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/806498?lang=en&region=US,
VAWHFUNJDMQUSB-UHFFFAOYSA-N,Morpholinium Iodide,MorpholiniumIodide,215.03,1.8965040000000002,"InChI=1S/C4H9NO.HI/c1-3-6-4-2-5-1;/h5H,1-4H2;1H",organic,C1COCC[NH2+]1.[I-],C4H10INO,12196071,,,,,MS110640-10,,https://pubchem.ncbi.nlm.nih.gov/compound/Morpholinium-iodide
VZXFEELLBDNLAL-UHFFFAOYSA-N,n-Dodecylammonium bromide,nDodecylammoniumBromide,266.26,1.064263,"InChI=1S/C12H27N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13;/h2-13H2,1H3;1H",organic,CCCCCCCCCCCC[NH3+].[Br-],C12H28BrN,21872287,,,,,greatcell: MS300880,,https://pubchem.ncbi.nlm.nih.gov/compound/21872287#section=InChI
PXWSKGXEHZHFJA-UHFFFAOYSA-N,n-Dodecylammonium iodide,nDodecylammoniumIodide,313.26,1.128466,"InChI=1S/C12H27N.HI/c1-2-3-4-5-6-7-8-9-10-11-12-13;/h2-13H2,1H3;1H",organic,[I-].CCCCCCCCCCCC[NH3+],C12H28IN,,,,,,greatcell: MS100880-100,,https://cactus.nci.nih.gov/chemical/structure
VNAAUNTYIONOHR-UHFFFAOYSA-N,n-Hexylammonium iodide,nHexylammoniumIodide,229.11,1.464001,"InChI=1S/C6H15N.HI/c1-2-3-4-5-6-7;/h2-7H2,1H3;1H",organic,CCCCCC[NH3+].[I-],C6H16IN,,,,,,,,
HBZSVMFYMAOGRS-UHFFFAOYSA-N,n-Octylammonium Iodide,nOctylammoniumIodide,257.16,1.3149899999999999,"InChI=1S/C8H19N.HI/c1-2-3-4-5-6-7-8-9;/h2-9H2,1H3;1H",organic,CCCCCCCC[NH3+].[I-],C8H20IN,22461615,,,,Octyalazanium,MS105500-10,,https://pubchem.ncbi.nlm.nih.gov/compound/22461615
